postcodeLeerlingen,schoolNaam,aantalLeerlingen
5476,RK Sch De Rietlanden,1
5481,RK Sch De Rietlanden,3
5482,RK Sch De Rietlanden,11
5491,RK Sch De Rietlanden,8
5492,RK Sch De Rietlanden,3
5623,RK Sch De Rietlanden,1
5624,RK Sch De Rietlanden,1
5629,RK Sch De Rietlanden,1
5632,RK Sch De Rietlanden,2
5709,RK Sch De Rietlanden,2
5741,RK Sch De Rietlanden,1
6621,RK Sch De Rietlanden,1
6624,RK Sch De Rietlanden,2
5213,ATO montessorischool Merlijn,2
5216,ATO montessorischool Merlijn,1
5231,ATO montessorischool Merlijn,7
5233,ATO montessorischool Merlijn,2
5235,ATO montessorischool Merlijn,35
5236,ATO montessorischool Merlijn,2
5237,ATO montessorischool Merlijn,119
5254,ATO montessorischool Merlijn,1
5151,Protestants Christelijke Basisschool De Bron,1
5212,Protestants Christelijke Basisschool De Bron,1
5231,Protestants Christelijke Basisschool De Bron,7
5234,Protestants Christelijke Basisschool De Bron,1
5235,Protestants Christelijke Basisschool De Bron,17
5236,Protestants Christelijke Basisschool De Bron,1
5237,Protestants Christelijke Basisschool De Bron,100
3434,ATO basisschool De Overlaet,1
5062,ATO basisschool De Overlaet,1
5212,ATO basisschool De Overlaet,1
5213,ATO basisschool De Overlaet,1
5231,ATO basisschool De Overlaet,2
5232,ATO basisschool De Overlaet,2
5233,ATO basisschool De Overlaet,2
5241,ATO basisschool De Overlaet,158
5242,ATO basisschool De Overlaet,3
5243,ATO basisschool De Overlaet,43
5244,ATO basisschool De Overlaet,3
5245,ATO basisschool De Overlaet,25
5246,ATO basisschool De Overlaet,5
5247,ATO basisschool De Overlaet,179
5386,ATO basisschool De Overlaet,1
5223,Rooms Kaholieke Basisschool De Borch,1
5231,Rooms Kaholieke Basisschool De Borch,1
5241,Rooms Kaholieke Basisschool De Borch,86
5242,Rooms Kaholieke Basisschool De Borch,1
5243,Rooms Kaholieke Basisschool De Borch,42
5244,Rooms Kaholieke Basisschool De Borch,1
5245,Rooms Kaholieke Basisschool De Borch,16
5246,Rooms Kaholieke Basisschool De Borch,1
5247,Rooms Kaholieke Basisschool De Borch,66
5382,Rooms Kaholieke Basisschool De Borch,1
5152,Basisschool Imam Albogari,1
5212,Basisschool Imam Albogari,2
5223,Basisschool Imam Albogari,33
5224,Basisschool Imam Albogari,31
5231,Basisschool Imam Albogari,9
5236,Basisschool Imam Albogari,1
5246,Basisschool Imam Albogari,2
5247,Basisschool Imam Albogari,2
5251,Basisschool Imam Albogari,1
5262,Basisschool Imam Albogari,2
5301,Basisschool Imam Albogari,5
5302,Basisschool Imam Albogari,1
5311,Basisschool Imam Albogari,3
7544,Basisschool Imam Albogari,1
5211,ATO basisschool Meander,1
5213,ATO basisschool Meander,2
5231,ATO basisschool Meander,3
5233,ATO basisschool Meander,3
5235,ATO basisschool Meander,7
5236,ATO basisschool Meander,1
5237,ATO basisschool Meander,354
5241,ATO basisschool Meander,1
5245,ATO basisschool Meander,1
5271,ATO basisschool Meander,1
5321,ATO basisschool Meander,1
5212,Rooms Katholieke Basisschool 't Schrijverke,1
5221,Rooms Katholieke Basisschool 't Schrijverke,2
5224,Rooms Katholieke Basisschool 't Schrijverke,1
5231,Rooms Katholieke Basisschool 't Schrijverke,1
5232,Rooms Katholieke Basisschool 't Schrijverke,2
5234,Rooms Katholieke Basisschool 't Schrijverke,2
5235,Rooms Katholieke Basisschool 't Schrijverke,15
5236,Rooms Katholieke Basisschool 't Schrijverke,3
5237,Rooms Katholieke Basisschool 't Schrijverke,315
5233,ATO basisschool De Groote Wielen,1
5241,ATO basisschool De Groote Wielen,5
5243,ATO basisschool De Groote Wielen,1
5245,ATO basisschool De Groote Wielen,25
5246,ATO basisschool De Groote Wielen,1
5247,ATO basisschool De Groote Wielen,491
5249,ATO basisschool De Groote Wielen,2
5321,ATO basisschool De Groote Wielen,2
5384,ATO basisschool De Groote Wielen,1
5482,ATO basisschool De Groote Wielen,1
9801,ATO basisschool De Groote Wielen,1
5211,Wittering.nl,2
5212,Wittering.nl,1
5213,Wittering.nl,3
5215,Wittering.nl,1
5216,Wittering.nl,1
5231,Wittering.nl,2
5233,Wittering.nl,6
5234,Wittering.nl,1
5235,Wittering.nl,2
5236,Wittering.nl,4
5237,Wittering.nl,2
5241,Wittering.nl,7
5242,Wittering.nl,16
5243,Wittering.nl,13
5244,Wittering.nl,7
5245,Wittering.nl,12
5246,Wittering.nl,5
5247,Wittering.nl,136
5248,Wittering.nl,5
5251,Wittering.nl,2
5256,Wittering.nl,1
5258,Wittering.nl,4
5291,Wittering.nl,2
5321,Wittering.nl,2
5335,Wittering.nl,1
5351,Wittering.nl,1
5391,Wittering.nl,1
5398,Wittering.nl,1
6624,Wittering.nl,1
5211,Kindcentrum De Hoven,1
5215,Kindcentrum De Hoven,1
5235,Kindcentrum De Hoven,2
5236,Kindcentrum De Hoven,4
5242,Kindcentrum De Hoven,1
5245,Kindcentrum De Hoven,153
5246,Kindcentrum De Hoven,1
5247,Kindcentrum De Hoven,12
