postcodeLeerlingen,schoolNaam,aantalLeerlingen
5242,Mytylschool Gabriel,1
5243,Mytylschool Gabriel,1
5244,Mytylschool Gabriel,1
5245,Mytylschool Gabriel,2
5246,Mytylschool Gabriel,4
5247,Mytylschool Gabriel,4
5248,Mytylschool Gabriel,1
5251,Mytylschool Gabriel,9
5252,Mytylschool Gabriel,1
5256,Mytylschool Gabriel,2
5258,Mytylschool Gabriel,6
5261,Mytylschool Gabriel,5
5262,Mytylschool Gabriel,8
5263,Mytylschool Gabriel,2
5266,Mytylschool Gabriel,1
5268,Mytylschool Gabriel,1
5271,Mytylschool Gabriel,5
5281,Mytylschool Gabriel,1
5282,Mytylschool Gabriel,3
5283,Mytylschool Gabriel,3
5291,Mytylschool Gabriel,1
5298,Mytylschool Gabriel,2
5301,Mytylschool Gabriel,3
5306,Mytylschool Gabriel,1
5307,Mytylschool Gabriel,4
5311,Mytylschool Gabriel,1
5313,Mytylschool Gabriel,1
5314,Mytylschool Gabriel,1
5317,Mytylschool Gabriel,2
5321,Mytylschool Gabriel,3
5324,Mytylschool Gabriel,6
5325,Mytylschool Gabriel,1
5327,Mytylschool Gabriel,1
5328,Mytylschool Gabriel,1
5331,Mytylschool Gabriel,4
5333,Mytylschool Gabriel,1
5334,Mytylschool Gabriel,1
5341,Mytylschool Gabriel,1
5342,Mytylschool Gabriel,2
5343,Mytylschool Gabriel,1
5344,Mytylschool Gabriel,1
5345,Mytylschool Gabriel,3
5351,Mytylschool Gabriel,4
5374,Mytylschool Gabriel,2
5381,Mytylschool Gabriel,1
5384,Mytylschool Gabriel,4
5388,Mytylschool Gabriel,1
5391,Mytylschool Gabriel,1
5396,Mytylschool Gabriel,1
5397,Mytylschool Gabriel,2
5401,Mytylschool Gabriel,2
5402,Mytylschool Gabriel,1
5403,Mytylschool Gabriel,1
5408,Mytylschool Gabriel,1
5411,Mytylschool Gabriel,1
5427,Mytylschool Gabriel,1
5463,Mytylschool Gabriel,1
5481,Mytylschool Gabriel,3
5482,Mytylschool Gabriel,3
5629,Mytylschool Gabriel,1
5674,Mytylschool Gabriel,1
5165,Basisschool Jeroen Bosch,1
5211,Basisschool Jeroen Bosch,4
5213,Basisschool Jeroen Bosch,67
5215,Basisschool Jeroen Bosch,14
5216,Basisschool Jeroen Bosch,1
5235,Basisschool Jeroen Bosch,1
5241,Basisschool Jeroen Bosch,3
5242,Basisschool Jeroen Bosch,1
5245,Basisschool Jeroen Bosch,2
5246,Basisschool Jeroen Bosch,259
5248,Basisschool Jeroen Bosch,1
5254,Basisschool Jeroen Bosch,1
5211,Jenaplanschool Antonius Abt,5
5212,Jenaplanschool Antonius Abt,2
5221,Jenaplanschool Antonius Abt,503
5223,Jenaplanschool Antonius Abt,12
5224,Jenaplanschool Antonius Abt,31
5235,Jenaplanschool Antonius Abt,1
5237,Jenaplanschool Antonius Abt,3
5246,Jenaplanschool Antonius Abt,2
5247,Jenaplanschool Antonius Abt,1
5251,Jenaplanschool Antonius Abt,18
5252,Jenaplanschool Antonius Abt,4
5253,Jenaplanschool Antonius Abt,2
5254,Jenaplanschool Antonius Abt,4
5256,Jenaplanschool Antonius Abt,10
5314,Jenaplanschool Antonius Abt,1
5091,De Troubadour School voor Basisonderwijs,1
5213,De Troubadour School voor Basisonderwijs,1
5223,De Troubadour School voor Basisonderwijs,2
5233,De Troubadour School voor Basisonderwijs,1
5236,De Troubadour School voor Basisonderwijs,2
5241,De Troubadour School voor Basisonderwijs,10
5242,De Troubadour School voor Basisonderwijs,318
5243,De Troubadour School voor Basisonderwijs,12
5244,De Troubadour School voor Basisonderwijs,2
5246,De Troubadour School voor Basisonderwijs,5
5247,De Troubadour School voor Basisonderwijs,10
5248,De Troubadour School voor Basisonderwijs,8
5351,De Troubadour School voor Basisonderwijs,1
5398,De Troubadour School voor Basisonderwijs,1
5241,Basisschool De Masten,2
5242,Basisschool De Masten,10
5244,Basisschool De Masten,6
5248,Basisschool De Masten,87
5258,Basisschool De Masten,1
5211,Basisschool De Matrix,1
5221,Basisschool De Matrix,305
5222,Basisschool De Matrix,4
5223,Basisschool De Matrix,11
5224,Basisschool De Matrix,17
5231,Basisschool De Matrix,1
5241,Basisschool De Matrix,1
5256,Basisschool De Matrix,1
5241,Rooms Katholieke Basisschool Den Krommenhoek,3
5243,Rooms Katholieke Basisschool Den Krommenhoek,66
5244,Rooms Katholieke Basisschool Den Krommenhoek,1
5245,Rooms Katholieke Basisschool Den Krommenhoek,1
5247,Rooms Katholieke Basisschool Den Krommenhoek,14
5151,Vrije School De Driestroom,3
5211,Vrije School De Driestroom,6
5212,Vrije School De Driestroom,18
5213,Vrije School De Driestroom,34
5215,Vrije School De Driestroom,18
5216,Vrije School De Driestroom,13
5221,Vrije School De Driestroom,2
5223,Vrije School De Driestroom,5
5231,Vrije School De Driestroom,12
5233,Vrije School De Driestroom,7
5235,Vrije School De Driestroom,1
5236,Vrije School De Driestroom,1
5237,Vrije School De Driestroom,5
5242,Vrije School De Driestroom,3
5243,Vrije School De Driestroom,3
5244,Vrije School De Driestroom,6
5245,Vrije School De Driestroom,3
5246,Vrije School De Driestroom,15
5247,Vrije School De Driestroom,2
5252,Vrije School De Driestroom,2
5258,Vrije School De Driestroom,9
5261,Vrije School De Driestroom,1
5262,Vrije School De Driestroom,7
5263,Vrije School De Driestroom,5
5271,Vrije School De Driestroom,3
5301,Vrije School De Driestroom,3
5305,Vrije School De Driestroom,4
5314,Vrije School De Driestroom,3
5327,Vrije School De Driestroom,3
5328,Vrije School De Driestroom,3
5344,Vrije School De Driestroom,2
5351,Vrije School De Driestroom,2
5481,Vrije School De Driestroom,3
5211,Basisschool 't Wikveld,1
5213,Basisschool 't Wikveld,1
5223,Basisschool 't Wikveld,1
5224,Basisschool 't Wikveld,1
5231,Basisschool 't Wikveld,4
5233,Basisschool 't Wikveld,6
5235,Basisschool 't Wikveld,14
5236,Basisschool 't Wikveld,595
5237,Basisschool 't Wikveld,3
5242,Basisschool 't Wikveld,1
5245,Basisschool 't Wikveld,5
5246,Basisschool 't Wikveld,3
5247,Basisschool 't Wikveld,7
5392,Basisschool 't Wikveld,2
5398,Basisschool 't Wikveld,6
5216,Basisschool 't Ven,1
5232,Basisschool 't Ven,1
5233,Basisschool 't Ven,2
5241,Basisschool 't Ven,158
5242,Basisschool 't Ven,5
5243,Basisschool 't Ven,3
5245,Basisschool 't Ven,2
5246,Basisschool 't Ven,1
5247,Basisschool 't Ven,8
5212,Educatief Centrum 't Sparrenbos,1
5236,Educatief Centrum 't Sparrenbos,1
5241,Educatief Centrum 't Sparrenbos,8
5242,Educatief Centrum 't Sparrenbos,96
5243,Educatief Centrum 't Sparrenbos,38
5244,Educatief Centrum 't Sparrenbos,219
5247,Educatief Centrum 't Sparrenbos,6
5248,Educatief Centrum 't Sparrenbos,3
5258,Educatief Centrum 't Sparrenbos,1
5382,Educatief Centrum 't Sparrenbos,3
5403,Educatief Centrum 't Sparrenbos,1
5014,Christelijke Basisschool De Cirkel,1
5211,Christelijke Basisschool De Cirkel,2
5212,Christelijke Basisschool De Cirkel,2
5213,Christelijke Basisschool De Cirkel,4
5216,Christelijke Basisschool De Cirkel,52
5224,Christelijke Basisschool De Cirkel,1
5231,Christelijke Basisschool De Cirkel,26
